,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
0,Toronto,18.53,85.23,9.63,5.19,6.36,3.59,1.95,1.53,2.52,2.54,2.93,2.96,11.48,11.92,13.14,3.2,1.26,3.19,3.36,2.81,2.47,2.3,1.67,11.86,2.34,2.78,12.78,2.41,115.62,3.31,1.3,22.98,1.44,20752.19,19623.25,127.96,0.33,54.91,46.66,17.4,11.12,1159.76,19673.2,60.67,37.89,91.66,102.73,1728.5,1426.71,2733.4,2302.11,9834.67,7249.17,3249.79,5.24,1,43.7417,-79.3733,Ontario,5429524.0
1,Montreal,14.82,66.7,9.63,5.93,5.93,3.57,1.76,1.37,2.17,2.81,2.9,2.87,11.4,11.07,12.68,3.17,1.49,3.11,3.47,1.84,1.96,2.08,1.68,11.86,2.4,2.69,11.12,2.59,69.67,2.96,1.3,30.57,1.47,22234.49,19365.84,80.09,0.37,47.56,29.68,14.02,11.12,667.5,8449.11,62.79,35.84,92.97,111.49,1045.58,800.16,1846.59,1342.69,6069.66,3487.84,2823.94,5.41,1,45.5089,-73.5617,Quebec,3519595.0
2,Vancouver,18.16,83.38,8.89,5.19,6.67,3.8,1.94,1.77,2.19,2.61,3.44,3.58,12.69,11.52,14.7,3.15,1.43,3.44,3.49,2.69,1.99,2.28,1.92,14.82,2.49,2.95,14.08,2.3,95.24,2.78,1.43,26.9,1.58,22234.49,19160.9,91.93,0.26,62.95,46.24,11.3,12.6,1059.84,20793.42,58.69,37.87,87.35,114.61,1799.96,1502.8,3373.09,2341.43,9983.22,7902.75,3474.89,4.46,1,49.25,-123.1,British Columbia,2264823.0
3,Calgary,18.53,63.0,8.89,5.19,5.93,3.75,1.75,1.53,1.73,2.18,2.57,2.9,10.88,10.51,13.87,3.85,1.46,3.51,3.78,2.21,2.62,2.42,1.63,11.12,2.55,2.86,11.86,2.67,83.01,2.96,1.43,25.94,1.26,20752.19,19799.73,189.53,0.2,64.35,58.99,20.16,11.29,813.41,11879.57,54.07,44.06,75.78,101.91,1121.71,903.12,1976.24,1504.96,3328.49,2651.05,3807.94,4.58,1,51.05,-114.0667,Alberta,1239220.0
4,Edmonton,18.53,66.7,8.89,5.19,5.93,3.79,1.82,1.73,1.97,2.22,3.05,2.69,10.75,11.14,13.37,3.79,1.39,3.39,3.67,2.01,1.76,2.4,1.68,11.12,2.05,2.68,12.6,2.59,74.11,2.74,1.22,22.23,1.26,22234.49,18299.17,189.4,0.26,59.09,46.98,14.64,11.12,711.5,59421.68,53.23,30.63,78.77,99.23,906.92,745.74,1535.36,1153.16,2200.36,1841.51,3403.02,4.82,1,53.5344,-113.4903,Alberta,1062643.0
5,Ottawa,18.53,63.0,8.89,5.19,6.67,3.68,1.96,1.46,1.85,2.18,3.03,2.91,11.17,11.6,12.1,3.48,1.21,2.93,3.36,1.66,1.8,1.97,1.51,11.12,2.29,2.22,11.12,2.74,91.72,2.96,1.38,17.79,1.43,21122.77,19163.27,119.98,0.21,59.52,52.35,23.82,11.12,971.73,14267.13,53.31,36.26,78.89,106.68,1271.64,1000.55,2040.48,1612.0,4884.05,3616.54,3319.71,5.33,1,45.4247,-75.695,Ontario,989567.0
6,Winnipeg,14.82,55.59,8.22,4.45,5.19,3.38,1.76,1.52,1.34,1.94,2.95,2.78,9.22,10.68,13.14,3.62,1.38,3.53,3.76,2.56,2.35,2.26,1.59,11.12,2.64,3.25,13.71,2.3,77.08,2.78,1.19,23.2,1.4,20011.04,19189.0,145.32,0.28,60.69,33.21,21.68,10.38,526.77,12398.94,44.07,30.8,72.67,94.92,817.87,843.69,1349.06,1295.92,3038.71,2649.61,2145.63,4.5,1,49.8844,-97.1464,Manitoba,705244.0
7,Quebec City,14.88,59.29,9.63,5.19,5.19,3.48,1.55,1.12,1.54,2.43,3.28,2.65,11.9,8.89,13.75,2.87,1.36,2.73,3.4,2.43,1.57,1.7,0.95,11.12,1.54,2.54,10.38,2.59,65.96,2.59,1.3,28.9,1.44,18528.74,16075.54,96.59,0.33,50.98,36.48,28.16,10.38,662.54,6333.84,53.94,32.7,76.43,101.91,721.93,588.1,1242.85,929.81,7736.1,1752.82,3012.07,5.06,1,46.8139,-71.2081,Quebec,705103.0
8,Kitchener,14.82,72.63,8.89,3.71,4.26,2.47,1.22,1.4,1.77,2.34,2.68,2.91,11.51,10.7,15.56,2.91,1.1,3.75,3.93,1.48,1.77,1.85,1.47,11.12,2.35,3.65,11.12,2.66,66.7,2.59,1.56,25.94,1.41,18667.34,18975.55,152.05,0.19,57.06,31.31,16.68,11.12,815.26,,44.62,34.28,66.6,94.29,1289.29,1159.47,1780.81,1650.29,5966.09,5661.11,3369.02,6.3,1,43.4186,-80.4728,Ontario,470015.0
9,Halifax,14.82,66.7,8.89,5.19,5.19,3.53,1.78,1.7,1.8,2.26,4.3,3.41,9.39,11.43,11.47,3.82,1.66,3.73,3.9,2.62,2.52,2.6,1.43,14.82,2.8,3.28,14.08,2.04,61.14,2.78,1.3,22.23,1.42,22234.49,20121.54,140.5,0.16,75.81,44.31,16.8,11.12,651.59,12784.83,66.02,36.41,88.89,102.9,1217.45,973.06,1919.75,1504.86,3764.62,2099.92,3072.15,4.63,1,44.6475,-63.5906,Nova Scotia,403131.0
